epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.772,0.96524,1.4218,1.01009,0.99103,0.98788,0.993,0.77505,0.84824,0.56954,0.9679,0.00332962,0.00332962,0.00332962
2,246.831,0.93872,0.70377,0.99914,0.98989,0.98677,0.99246,0.75171,0.90391,0.48802,0.99479,0.00653103,0.00653103,0.00653103
3,364.364,0.96301,0.59663,1.0195,0.98819,0.99069,0.9946,0.77212,0.86414,0.44964,0.9987,0.00960044,0.00960044,0.00960044
4,481.739,0.9483,0.54961,1.021,0.99349,0.98714,0.99456,0.78468,0.84116,0.40946,0.98135,0.009406,0.009406,0.009406
5,600.493,0.91237,0.50259,1.00622,0.99374,0.99653,0.99474,0.79682,0.8063,0.39226,0.96514,0.009208,0.009208,0.009208
6,720.236,0.8854,0.46892,0.99674,0.99666,0.9951,0.99445,0.80833,0.77541,0.36512,0.95086,0.00901,0.00901,0.00901
7,839.63,0.86249,0.45027,0.98571,0.99505,0.99653,0.99486,0.80382,0.77696,0.34952,0.94548,0.008812,0.008812,0.008812
8,957.043,0.85075,0.43677,0.98128,0.99649,0.99874,0.99454,0.82107,0.76826,0.33249,0.9472,0.008614,0.008614,0.008614
9,1073.84,0.83439,0.42354,0.97398,0.99272,0.99741,0.99469,0.81972,0.76221,0.33357,0.942,0.008416,0.008416,0.008416
10,1190.5,0.82655,0.41708,0.9696,0.99531,0.99941,0.9946,0.82834,0.75828,0.32058,0.94049,0.008218,0.008218,0.008218
11,1308.15,0.82275,0.40972,0.97058,0.99606,0.99843,0.99452,0.83252,0.74836,0.31195,0.93585,0.00802,0.00802,0.00802
12,1425.25,0.80756,0.39978,0.96301,0.99675,0.99873,0.99453,0.83519,0.7297,0.3048,0.92966,0.007822,0.007822,0.007822
13,1542.42,0.80552,0.3921,0.96091,0.99771,0.99907,0.99472,0.83493,0.72717,0.29943,0.92981,0.007624,0.007624,0.007624
14,1657.55,0.79776,0.38973,0.95898,0.99682,0.99805,0.99442,0.83854,0.72152,0.29452,0.9285,0.007426,0.007426,0.007426
15,1774.51,0.7974,0.38289,0.95534,0.99807,0.99836,0.99454,0.83987,0.71735,0.28842,0.92292,0.007228,0.007228,0.007228
16,1891.75,0.78603,0.37583,0.95197,0.9979,0.99877,0.99454,0.84021,0.71736,0.28039,0.92265,0.00703,0.00703,0.00703
17,2008.86,0.78384,0.37226,0.95299,0.99895,0.99869,0.99466,0.84439,0.71646,0.28172,0.92344,0.006832,0.006832,0.006832
18,2126.89,0.77861,0.36749,0.94696,0.99901,0.99849,0.99455,0.84801,0.70397,0.27577,0.91929,0.006634,0.006634,0.006634
19,2245.41,0.77709,0.367,0.9489,0.99789,0.99924,0.99466,0.8459,0.70678,0.27009,0.92056,0.006436,0.006436,0.006436
20,2363.06,0.77142,0.36174,0.94578,0.99857,0.99962,0.99458,0.85031,0.6969,0.26692,0.9187,0.006238,0.006238,0.006238
21,2484,0.76745,0.35795,0.94561,0.9992,1,0.99469,0.85002,0.70293,0.26276,0.91856,0.00604,0.00604,0.00604
22,2602.13,0.76403,0.35435,0.94173,0.99883,1,0.99461,0.84798,0.69778,0.2633,0.91632,0.005842,0.005842,0.005842
23,2721.58,0.75806,0.35168,0.94262,0.99914,0.99993,0.99456,0.85431,0.69881,0.25813,0.91621,0.005644,0.005644,0.005644
24,2839.07,0.75427,0.34816,0.94117,0.99935,0.99881,0.99455,0.85233,0.69499,0.25772,0.91574,0.005446,0.005446,0.005446
25,2958.63,0.75147,0.34415,0.93935,0.99949,0.99992,0.9946,0.85339,0.69248,0.25535,0.91298,0.005248,0.005248,0.005248
26,3090.66,0.7479,0.34307,0.93975,0.99916,0.99934,0.99457,0.8526,0.68944,0.25555,0.91358,0.00505,0.00505,0.00505
27,3211.79,0.74639,0.34032,0.93591,0.99938,1,0.99459,0.85699,0.68701,0.25213,0.91292,0.004852,0.004852,0.004852
28,3332.16,0.74719,0.33595,0.93719,0.99914,0.99982,0.99456,0.85701,0.68064,0.24523,0.90956,0.004654,0.004654,0.004654
29,3454.21,0.73906,0.3349,0.93641,0.99925,0.99931,0.99458,0.85905,0.67715,0.24355,0.90802,0.004456,0.004456,0.004456
30,3572.28,0.73073,0.33175,0.93123,0.99932,1,0.99457,0.85824,0.6723,0.24274,0.90686,0.004258,0.004258,0.004258
31,3701.18,0.73294,0.3284,0.93412,0.99936,1,0.99458,0.85637,0.67062,0.24051,0.90555,0.00406,0.00406,0.00406
32,3827.14,0.72824,0.32346,0.93328,0.99934,1,0.99455,0.85983,0.67483,0.23974,0.90617,0.003862,0.003862,0.003862
33,3950.15,0.73459,0.32572,0.93399,0.99938,1,0.99463,0.85991,0.67119,0.23954,0.90578,0.003664,0.003664,0.003664
34,4072.96,0.7185,0.3217,0.92666,0.99943,1,0.99463,0.86162,0.66605,0.23578,0.90512,0.003466,0.003466,0.003466
35,4195.2,0.72067,0.3175,0.92942,0.99938,1,0.99458,0.86149,0.66833,0.23601,0.90464,0.003268,0.003268,0.003268
36,4319.12,0.7148,0.31516,0.9258,0.99937,1,0.99456,0.86209,0.66715,0.23353,0.90505,0.00307,0.00307,0.00307
37,4442.74,0.7105,0.31275,0.92701,0.99943,1,0.99459,0.86414,0.66341,0.23198,0.90519,0.002872,0.002872,0.002872
38,4564.16,0.70951,0.31006,0.92457,0.9994,1,0.99465,0.86435,0.66214,0.23121,0.90477,0.002674,0.002674,0.002674
39,4686.77,0.70801,0.30721,0.92523,0.99943,1,0.99461,0.86271,0.66454,0.2284,0.9042,0.002476,0.002476,0.002476
40,4807.62,0.7084,0.30573,0.92531,0.99946,1,0.99463,0.86416,0.66308,0.22848,0.90305,0.002278,0.002278,0.002278
41,4972.03,0.67514,0.27128,0.91704,0.99938,0.99999,0.99462,0.86097,0.66621,0.23138,0.90402,0.00208,0.00208,0.00208
42,5093.59,0.67214,0.26699,0.91655,0.99944,1,0.99461,0.86258,0.66346,0.22897,0.90417,0.001882,0.001882,0.001882
43,5216.96,0.66597,0.26342,0.91294,0.99941,1,0.99459,0.86279,0.6624,0.22868,0.90276,0.001684,0.001684,0.001684
44,5336.4,0.66107,0.25949,0.91037,0.99945,1,0.99461,0.86433,0.66227,0.22763,0.9026,0.001486,0.001486,0.001486
45,5461.98,0.66036,0.26105,0.91267,0.99942,1,0.99458,0.86495,0.66079,0.22894,0.90265,0.001288,0.001288,0.001288
46,5582.58,0.65248,0.25402,0.90826,0.99941,1,0.9946,0.86623,0.65948,0.22594,0.9025,0.00109,0.00109,0.00109
47,5705.24,0.65097,0.2503,0.90706,0.99942,1,0.9946,0.86709,0.65926,0.22488,0.9021,0.000892,0.000892,0.000892
48,5828.32,0.64253,0.24512,0.90445,0.99937,1,0.9946,0.86767,0.65771,0.22332,0.90194,0.000694,0.000694,0.000694
49,5951.6,0.63671,0.2405,0.90158,0.99946,1,0.99462,0.86865,0.65756,0.22364,0.90221,0.000496,0.000496,0.000496
50,6069.52,0.63486,0.23686,0.89909,0.9994,0.99997,0.99463,0.86763,0.65692,0.22365,0.90191,0.000298,0.000298,0.000298
